ID,RA,Dec,Jy,x,y
Cas A,350.85,58.815,1749.27,,
Cen A,201.36506,-43.01911,1700,,
Cyg A,299.86792,40.73392,1556.22,,
Her A,252.78343,4.99303,46.73,,
Hya A,139.52355,-12.09555,42.65,,
Ori A,83.82208,-5.39111,520,,
Per A,49.95083,41.51169,10,,
Pic A,79.95718,-45.77885,66.45,,
Sgr A,266.41667,-29.00783,1600,,
Tau A,83.63333,22.0145,826.37,,
Vir A,187.70583,12.39111,203,,
Vela X,128.287,-45.1901,1600,,
NGC 2237,97.65042,4.98072,260,,
3C 48,24.42208,33.15975,16.27,,
3C 123,69.26833,29.6705,47.47,,
3C 147,85.65042,49.582,21.86,,
3C 161,96.79208,-5.885,18.58,,
3C 227,146.9301,7.42239,7.61,,
3C 249.1,166.05708,76.98278,2.28,,
3C 286,202.78458,30.50917,14.68,,
3C 295,212.83583,52.20253,22.22,,
3C 309.1,224.7816,71.67219,7.48,,
3C 353,260.11728,-0.97976,56.25,,
W3(OH),36.76958,61.87367,3.17,,
W49N,287.54583,9.08333,10,,
W51,290.77083,14.21667,10,,
W75S,309.75458,42.32914,10,,
